A_R, A_T
0.4999385961460835, 1.49945005279221
0.501831182730999, 1.5011659699850073
0.503636411337999, 1.5028889609145506
0.5053530125010803, 1.5046185549170887
0.5069801644906374, 1.5063542459643202
0.5085170967624943, 1.5080954910527702
0.5104714061301501, 1.5098417085160987
0.5123396599589868, 1.5115435869859815
0.514015187112349, 1.5133488613892558
0.5155998313215618, 1.5151589533968708
0.5176067200762023, 1.516973140106776
0.5195280052898257, 1.5187906508887508
0.5212559335481683, 1.5205322796739893
0.5228914884277122, 1.5224141039660133
0.5249543608520537, 1.5242986428320289
0.5269327173704166, 1.5261849473687226
0.528820507180683, 1.5280720093711626
0.5304060223035182, 1.5298963596493966
0.5325286520645748, 1.5318518852662026
0.5345679574297688, 1.5338069655394337
0.536516207257781, 1.5357603659444448
0.5381589311531879, 1.5376357476508227
0.540345519137589, 1.5396606891398152
0.542450093508988, 1.5416821713705962
0.5444631958209812, 1.5436986855241315
0.546167503646413, 1.5456551774292226
0.5484227479660428, 1.5477451801288105
